location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20210313T0000,7.0605288,66.0,30.589407,243.43495
20210313T0100,7.0305285,65.0,32.427986,247.1355
20210313T0200,6.790529,66.0,31.956968,247.47943
20210313T0300,6.1805286,70.0,32.28981,247.7241
20210313T0400,6.0505285,69.0,29.62518,244.05771
20210313T0500,6.1805286,66.0,28.533264,240.52411
20210313T0600,5.8605285,66.0,28.056913,236.51382
20210313T0700,5.9605284,66.0,26.932714,232.05785
20210313T0800,7.1505284,63.0,30.472675,231.23448
20210313T0900,8.500529,59.0,35.261627,229.96974
20210313T1000,9.720529,55.0,38.45939,234.52467
20210313T1100,9.710529,54.0,40.23795,236.30994
20210313T1200,9.890529,55.0,42.645947,234.96835
20210313T1300,11.630529,51.0,42.645947,234.96835
20210313T1400,11.710529,51.0,43.542145,237.49248
20210313T1500,11.360529,53.0,46.30725,239.64738
20210313T1600,11.150529,55.0,47.194336,245.19434
20210313T1700,9.920529,63.0,43.78701,248.28607
20210313T1800,8.430529,74.0,32.10667,252.37772
20210313T1900,8.040529,72.0,29.888672,260.99152
20210313T2000,7.7405286,74.0,29.519999,257.31964
20210313T2100,7.5605288,72.0,34.619946,253.07248
20210313T2200,6.6805286,73.0,37.003025,252.44647
20210313T2300,6.2005286,76.0,34.152596,251.56506
20210314T0000,5.9105287,78.0,31.869658,256.2777
20210314T0100,5.7205286,75.0,35.230373,258.8049
20210314T0200,4.4605284,81.0,22.314192,259.77783
20210314T0300,4.2605286,80.0,28.551426,256.13898
20210314T0400,3.8705285,81.0,33.1376,268.13232
20210314T0500,3.2505286,81.0,29.16,270.0
20210314T0600,2.5105286,81.0,26.28986,271.56937
20210314T0700,2.0105286,85.0,25.56,270.0
20210314T0800,2.6905286,81.0,25.56,270.0
20210314T0900,3.8205285,75.0,25.922499,269.20428
20210314T1000,4.5505285,73.0,28.1169,267.06433
20210314T1100,4.9805284,71.0,25.40743,262.67358
20210314T1200,3.5405285,84.0,28.277763,248.33405
20210314T1300,6.2305284,72.0,40.68637,268.98602
20210314T1400,5.8505287,73.0,29.539747,267.90475
20210314T1500,5.9405284,72.0,30.978832,271.9979
20210314T1600,6.1505284,72.0,30.955812,278.6955
20210314T1700,6.0905285,72.0,30.430117,280.91113
20210314T1800,6.2405286,71.0,29.871325,282.5288
20210314T1900,6.0005283,71.0,25.233406,284.03625
20210314T2000,5.7205286,76.0,23.491207,285.1011
20210314T2100,5.5005283,77.0,23.000591,287.30054
20210314T2200,5.3805285,77.0,19.48661,281.7251
20210314T2300,5.2605286,78.0,21.077686,277.85333
20210315T0000,5.1005287,80.0,23.377836,279.75244
20210315T0100,4.4605284,82.0,19.201874,276.4588
20210315T0200,4.6505284,81.0,18.175545,262.0304
20210315T0300,4.4905286,82.0,21.077686,262.14667
20210315T0400,4.0805287,83.0,20.969805,258.11133
20210315T0500,4.1305285,82.0,20.966715,254.0546
20210315T0600,3.7205286,81.0,22.89611,253.55963
20210315T0700,3.1105285,85.0,29.414444,248.45903
20210315T0800,3.8505285,81.0,32.283787,262.95422
20210315T0900,4.9005284,77.0,33.481937,270.61606
20210315T1000,5.0105286,79.0,30.248568,271.36392
20210315T1100,6.540529,76.0,29.162226,270.70734
20210315T1200,7.6305285,76.0,27.416782,283.67133
20210315T1300,8.010529,74.0,28.460497,288.43497
20210315T1400,7.8905287,71.0,19.022177,299.4759
20210315T1500,8.250529,65.0,17.610588,310.85538
20210315T1600,8.330529,60.0,18.775303,327.5288
20210315T1700,8.290529,59.0,19.171478,325.71313
20210315T1800,7.9305286,61.0,19.469976,326.30994
20210315T1900,7.0705285,68.0,16.135872,321.3402
20210315T2000,6.2605286,71.0,15.408671,307.40536
20210315T2100,5.8405285,72.0,17.22742,296.0296
20210315T2200,5.6805286,72.0,16.78156,305.3948
20210315T2300,5.040529,75.0,15.192682,306.32684
20210316T0000,4.000529,78.0,13.089354,301.50427
20210316T0100,3.0005286,81.0,11.874544,284.03625
20210316T0200,2.7005286,83.0,10.495713,275.90616
20210316T0300,2.6505284,84.0,15.546833,275.31454
20210316T0400,2.4705286,86.0,16.23596,273.8141
20210316T0500,2.3905284,85.0,16.676977,283.73627
20210316T0600,2.2705286,86.0,14.830076,275.5722
20210316T0700,2.1105285,86.0,16.56,270.0
